idx,Name,Points,Discipline,Gender,Sex
0,TOMOA NARASAKI,1795.84,Boulder,Male,1
1,KOKORO FUJII,1638,Boulder,Male,1
2,JONGWON CHON,1604.82,Boulder,Male,1
3,ALEKSEY RUBTSOV,1495,Boulder,Male,1
4,JAN HOJER,1118.64,Boulder,Male,1
5,JERNEJ KRUDER,1116.5,Boulder,Male,1
6,YOSHIYUKI OGATA,1077,Boulder,Male,1
7,REI SUGIMOTO,1058.5,Boulder,Male,1
8,JAKOB SCHUBERT,819.12,Boulder,Male,1
9,ADAM ONDRA,794.5,Boulder,Male,1
10,MANUEL CORNU,731.77,Boulder,Male,1
11,SEAN MCCOLL,655.26,Boulder,Male,1
12,KEITA WATABE,604.73,Boulder,Male,1
13,ALBAN LEVIER,534.43,Boulder,Male,1
14,MICKAEL MAWEM,529.56,Boulder,Male,1
15,NATHANIEL COLEMAN,529.42,Boulder,Male,1
16,GREGOR VEZONIK,523.76,Boulder,Male,1
17,TOMOAKI TAKATA,506.9,Boulder,Male,1
18,RUSTAM GELMANOV,469.5,Boulder,Male,1
19,ANZE PEHARC,429.05,Boulder,Male,1
0,AKIYO NOGUCHI,2065,Boulder,Female,2
1,MIHO NONAKA,1901,Boulder,Female,2
2,SHAUNA COXSEY,1771.7,Boulder,Female,2
3,JANJA GARNBRET,1661,Boulder,Female,2
4,FANNY GIBERT,1262.04,Boulder,Female,2
5,PETRA KLINGLER,1077.5,Boulder,Female,2
6,KATJA DEBEVEC,839.72,Boulder,Female,2
7,STASA GEJO,806.42,Boulder,Female,2
8,SOL SA,746.22,Boulder,Female,2
9,CHLOE CAULIER,608.86,Boulder,Female,2
10,FUTABA ITO,520.5,Boulder,Female,2
11,MELISSA LE NEVE,518.82,Boulder,Female,2
12,JESSICA PILZ,505.5,Boulder,Female,2
13,MEGAN MASCARENAS,460.5,Boulder,Female,2
14,MONIKA RETSCHY,440.5,Boulder,Female,2
15,KATHARINA SAURWEIN,434.49,Boulder,Female,2
16,AYA ONOE,429.96,Boulder,Female,2
17,ANNA STÖHR,426.12,Boulder,Female,2
18,ALANNAH YIP,422.64,Boulder,Female,2
19,BERIT SCHWAIGER,420.18,Boulder,Female,2
