idx,Country,Continent,Discipline,Year,Count
0,AUS,Australia,Boulder,2015,4
1,AUT,Europe,Boulder,2015,10
2,BEL,Europe,Boulder,2015,1
3,CAN,North America,Boulder,2015,11
4,CHN,Asia,Boulder,2015,6
5,CZE,Europe,Boulder,2015,3
6,DEN,Europe,Boulder,2015,1
7,ESP,Europe,Boulder,2015,1
8,FRA,Europe,Boulder,2015,12
9,GBR,Europe,Boulder,2015,7
10,GER,Europe,Boulder,2015,13
11,HKG,Asia,Boulder,2015,4
12,IRI,Asia,Boulder,2015,1
13,ISR,Asia,Boulder,2015,2
14,ITA,Europe,Boulder,2015,6
15,JPN,Asia,Boulder,2015,17
16,KAZ,Asia,Boulder,2015,2
17,KOR,Asia,Boulder,2015,4
18,LAT,Europe,Boulder,2015,1
19,MEX,North America,Boulder,2015,2
20,NED,Europe,Boulder,2015,3
21,NOR,Europe,Boulder,2015,2
22,POL,Europe,Boulder,2015,3
23,RUS,Europe,Boulder,2015,6
24,SGP,Asia,Boulder,2015,3
25,SLO,Europe,Boulder,2015,3
26,SRB,Europe,Boulder,2015,1
27,SUI,Europe,Boulder,2015,6
28,SVK,Europe,Boulder,2015,1
29,THA,Asia,Boulder,2015,1
30,UKR,Europe,Boulder,2015,1
31,USA,North America,Boulder,2015,21
32,AUS,Australia,Boulder,2016,2
33,AUT,Europe,Boulder,2016,15
34,BEL,Europe,Boulder,2016,1
35,CAN,North America,Boulder,2016,11
36,CHN,Asia,Boulder,2016,6
37,CZE,Europe,Boulder,2016,2
38,DEN,Europe,Boulder,2016,1
39,ESP,Europe,Boulder,2016,2
40,FIN,Europe,Boulder,2016,2
41,FRA,Europe,Boulder,2016,16
42,GBR,Europe,Boulder,2016,7
43,GER,Europe,Boulder,2016,10
44,GUA,Australia,Boulder,2016,1
45,HKG,Asia,Boulder,2016,1
46,IND,Asia,Boulder,2016,16
47,IRI,Asia,Boulder,2016,10
48,IRL,Europe,Boulder,2016,1
49,ISR,Asia,Boulder,2016,1
50,ITA,Europe,Boulder,2016,9
51,JPN,Asia,Boulder,2016,37
52,KOR,Asia,Boulder,2016,3
53,LAT,Europe,Boulder,2016,1
54,LTU,Europe,Boulder,2016,2
55,NED,Europe,Boulder,2016,4
