idx,Name,Points,Discipline,Gender,Sex
0,STEFANO GHISOLFI,1830,Lead,Male,1
1,JAKOB SCHUBERT,1520,Lead,Male,1
2,DOMEN SKOFIC,1412,Lead,Male,1
3,ROMAIN DESGRANGES,1352.84,Lead,Male,1
4,ADAM ONDRA,1233,Lead,Male,1
5,SEAN MCCOLL,869.9,Lead,Male,1
6,SEAN BAILEY,869,Lead,Male,1
7,MARCELLO BOMBARDI,841.5,Lead,Male,1
8,ALEXANDER MEGOS,807,Lead,Male,1
9,SASCHA LEHMANN,753.75,Lead,Male,1
10,ALBERTO GINÉS LÓPEZ,724,Lead,Male,1
11,SEBASTIAN HALENKE,673.5,Lead,Male,1
12,KOKORO FUJII,646.5,Lead,Male,1
13,YUKI HADA,630.95,Lead,Male,1
14,MASAHIRO HIGUCHI,625,Lead,Male,1
15,TOMOA NARASAKI,557,Lead,Male,1
16,FRANCESCO VETTORATA,525.68,Lead,Male,1
17,THOMAS JOANNES,514.95,Lead,Male,1
18,FEDIR SAMOILOV,508.42,Lead,Male,1
19,KEIICHIRO KORENAGA,497,Lead,Male,1
20,MAX RUDIGIER,476.69,Lead,Male,1
21,TAISEI HOMMA,475,Lead,Male,1
22,MARTIN STRANIK,470.81,Lead,Male,1
23,HIROTO SHIMIZU,455.75,Lead,Male,1
24,RAMÓN JULIAN PUIGBLANQUE,437.55,Lead,Male,1
25,KAI HARADA,433.57,Lead,Male,1
26,GAUTIER SUPPER,412,Lead,Male,1
27,LOÏC TIMMERMANS,409.25,Lead,Male,1
28,YANNICK FLOHÉ,382.85,Lead,Male,1
29,HANNES PUMAN,374.03,Lead,Male,1
30,WILLIAM BOSI,371.27,Lead,Male,1
31,HANWOOL KIM,370.1,Lead,Male,1
32,DMITRII FAKIRIANOV,359.7,Lead,Male,1
33,HIDEMASA NISHIDA,355.45,Lead,Male,1
34,LUKA POTOCAR,353.4,Lead,Male,1
35,SHUTA TANAKA,349.5,Lead,Male,1
36,YUFEI PAN,342.75,Lead,Male,1
37,MINORU NAKANO,339.6,Lead,Male,1
38,CHRISTOPH HANKE,333.35,Lead,Male,1
39,MEICHI NARASAKI,279.7,Lead,Male,1
40,JAN HOJER,254.12,Lead,Male,1
41,HYUNBIN MIN,251,Lead,Male,1
42,MARTIN BERGANT,245.41,Lead,Male,1
43,JAMES POPE,240.75,Lead,Male,1
44,JESSE GRUPPER,222,Lead,Male,1
45,REI SUGIMOTO,218,Lead,Male,1
46,YOSHIYUKI OGATA,214,Lead,Male,1
47,JAKUB KONECNY,196,Lead,Male,1
48,ELAN JONASMCRAE,172,Lead,Male,1
49,NICOLAS COLLIN,165.61,Lead,Male,1
50,URBAN PRIMOZIC,163,Lead,Male,1
51,NATHANIEL COLEMAN,131.44,Lead,Male,1
52,JONGWON CHON,129.5,Lead,Male,1
53,HAIBIN QU,124.9,Lead,Male,1
54,NAO MONCHOIS,124.1,Lead,Male,1
55,MAGNUS MIDTBOE,113,Lead,Male,1
56,VICTOR BAUDRAND,107,Lead,Male,1
57,PAUL JENFT,104,Lead,Male,1
58,MARTIN TEKLES,102.87,Lead,Male,1
59,SIMON LORENZI,99.67,Lead,Male,1
60,SAM AVEZOU,97.9,Lead,Male,1
61,SATONE YOSHIDA,90,Lead,Male,1
62,RUDOLPH RUANA,89,Lead,Male,1
63,NAOKI SHIMATANI,85.9,Lead,Male,1
64,JORG VERHOEVEN,84.7,Lead,Male,1
65,MATHIAS POSCH,84.3,Lead,Male,1
66,MILAN PRESKAR,80.52,Lead,Male,1
67,TAITO NAKAGAMI,80,Lead,Male,1
68,ALISTAIR DUVAL,77.14,Lead,Male,1
69,MIKHAIL CHERNIKOV,75.83,Lead,Male,1
70,COLIN DUFFY,75,Lead,Male,1
71,AO YURIKUSA,74,Lead,Male,1
72,JAVIER CANO BLAZQUEZ,72.37,Lead,Male,1
73,YUVAL SHEMLA,71.6,Lead,Male,1
74,SHINICHIRO NOMURA,69.8,Lead,Male,1
75,GEORG PARMA,66.69,Lead,Male,1
76,STEPHANE HANSSENS,63.77,Lead,Male,1
77,ALEKSEY RUBTSOV,61.6,Lead,Male,1
78,MIKEL ASIER LINACISORO MOLINA,61.6,Lead,Male,1
79,ALBERTO GOTTA,59.84,Lead,Male,1
80,KAI LIGHTNER,54.7,Lead,Male,1
81,ANZE PEHARC,51.34,Lead,Male,1
82,SOHTA AMAGASA,50,Lead,Male,1
