idx,Name,Points,Discipline,Gender,Sex
0,STEFANO GHISOLFI,1830,Lead,Male,1
1,JAKOB SCHUBERT,1520,Lead,Male,1
2,DOMEN SKOFIC,1412,Lead,Male,1
3,ROMAIN DESGRANGES,1352.84,Lead,Male,1
4,ADAM ONDRA,1233,Lead,Male,1
5,SEAN MCCOLL,869.9,Lead,Male,1
6,SEAN BAILEY,869,Lead,Male,1
7,MARCELLO BOMBARDI,841.5,Lead,Male,1
8,ALEXANDER MEGOS,807,Lead,Male,1
9,SASCHA LEHMANN,753.75,Lead,Male,1
10,ALBERTO GINÉS LÓPEZ,724,Lead,Male,1
11,SEBASTIAN HALENKE,673.5,Lead,Male,1
12,KOKORO FUJII,646.5,Lead,Male,1
13,YUKI HADA,630.95,Lead,Male,1
14,MASAHIRO HIGUCHI,625,Lead,Male,1
15,TOMOA NARASAKI,557,Lead,Male,1
16,FRANCESCO VETTORATA,525.68,Lead,Male,1
17,THOMAS JOANNES,514.95,Lead,Male,1
18,FEDIR SAMOILOV,508.42,Lead,Male,1
19,KEIICHIRO KORENAGA,497,Lead,Male,1
0,JANJA GARNBRET,2444,Lead,Female,2
1,JAIN KIM,1752,Lead,Female,2
2,JESSICA PILZ,1690,Lead,Female,2
3,MINA MARKOVIC,1145,Lead,Female,2
4,ANAK VERHOEVEN,1116,Lead,Female,2
5,CHAEHYUN SEO,1040,Lead,Female,2
6,AKIYO NOGUCHI,890,Lead,Female,2
7,JULIA CHANOURDIE,874.85,Lead,Female,2
8,MIA KRAMPL,780.67,Lead,Female,2
9,ASHIMA SHIRAISHI,746.5,Lead,Female,2
10,VITA LUKAN,690,Lead,Female,2
11,MOLLY THOMPSON-SMITH,683.99,Lead,Female,2
12,LUCKA RAKOVEC,663.5,Lead,Female,2
13,LAURA ROGORA,638.74,Lead,Female,2
14,NATSUKI TANII,614,Lead,Female,2
15,TJASA KALAN,546.7,Lead,Female,2
16,MEI KOTAKE,510.23,Lead,Female,2
17,CHRISTINE SCHRANZ,506.74,Lead,Female,2
18,SALOMÉ ROMAIN,495.24,Lead,Female,2
19,HANNAH SCHUBERT,480.35,Lead,Female,2
