idx,Name,Points,Discipline,Gender,Sex
0,REZA ALIPOUR,1573,Speed,Male,1
1,BASSA MAWEM,1490,Speed,Male,1
2,DANYIL BOLDYREV,1364,Speed,Male,1
3,MARCIN DZIENSKI,1332.5,Speed,Male,1
4,VLADISLAV DEULIN,1310.5,Speed,Male,1
5,DMITRII TIMOFEEV,1214,Speed,Male,1
6,STANISLAV KOKORIN,1187,Speed,Male,1
7,QIXIN ZHONG,1162,Speed,Male,1
8,ALEKSANDR SHIKOV,1039,Speed,Male,1
9,ALEKSANDR SHILOV,986.5,Speed,Male,1
10,LUDOVICO FOSSALI,956.4,Speed,Male,1
11,LIBOR HROZA,788,Speed,Male,1
12,ASPAR ASPAR,696.52,Speed,Male,1
13,LEONARDO GONTERO,672.5,Speed,Male,1
14,GUILLAUME MORO,670.5,Speed,Male,1
15,KOSTIANTYN PAVLENKO,610,Speed,Male,1
16,JAN KRIZ,549.7,Speed,Male,1
17,ALFIAN MUHAMMAD FAJRI,464,Speed,Male,1
18,ALESSANDRO SANTONI,430.95,Speed,Male,1
19,GIAN LUCA ZODDA,375,Speed,Male,1
0,ANOUCK JAUBERT,2440,Speed,Female,2
1,IULIIA KAPLINA,2076,Speed,Female,2
2,ANNA TSYGANOVA,1414,Speed,Female,2
3,MARIIA KRASAVINA,1346,Speed,Female,2
4,ANNA BROZEK,1105,Speed,Female,2
5,AURELIA SARISSON,991.8,Speed,Female,2
6,ALEKSANDRA MIROSLAW,986,Speed,Female,2
7,ARIES SUSANTI RAHAYU,888,Speed,Female,2
8,KLAUDIA BUCZEK,869,Speed,Female,2
9,PATRYCJA CHUDZIAK,759.67,Speed,Female,2
10,EDYTA ROPEK,746,Speed,Female,2
11,YILING SONG,727,Speed,Female,2
12,ALLA MARENYCH,717.5,Speed,Female,2
13,ELENA TIMOFEEVA,704.3,Speed,Female,2
14,VICTOIRE ANDRIER,659,Speed,Female,2
15,ELIZAVETA IVANOVA,571.9,Speed,Female,2
16,CUILIAN HE,446,Speed,Female,2
17,ELENA REMIZOVA,417.85,Speed,Female,2
18,MINGWEI NI,400,Speed,Female,2
19,NINA LACH,385.1,Speed,Female,2
