idx,Country,Points,Year,Discipline
0,ARG,0,2015,Lead
1,AUS,0.7,2015,Lead
2,AUT,1687.01,2015,Lead
3,BEL,595.97,2015,Lead
4,BUL,0,2015,Lead
5,CAN,323.49,2015,Lead
6,CHI,0.7,2015,Lead
7,CHN,72.63,2015,Lead
8,CZE,488.52,2015,Lead
9,DEN,1,2015,Lead
10,ECU,0,2015,Lead
11,ESP,349.17,2015,Lead
12,FIN,0,2015,Lead
13,FRA,1974.87,2015,Lead
14,GBR,18.47,2015,Lead
15,GER,399.32,2015,Lead
16,HKG,3,2015,Lead
17,HUN,0,2015,Lead
18,INA,0,2015,Lead
19,IRI,0,2015,Lead
20,ISR,70.53,2015,Lead
21,ITA,606.95,2015,Lead
22,JPN,1260.04,2015,Lead
23,KAZ,0,2015,Lead
24,KOR,522.59,2015,Lead
25,NED,94,2015,Lead
26,NOR,154.39,2015,Lead
27,POL,2.5,2015,Lead
28,RUS,355.95,2015,Lead
29,SLO,1556.72,2015,Lead
30,SRB,0,2015,Lead
31,SUI,167.24,2015,Lead
32,SVK,0.55,2015,Lead
33,SWE,100.22,2015,Lead
34,TPE,0,2015,Lead
35,UKR,22.67,2015,Lead
36,USA,183.25,2015,Lead
37,ARG,0.5,2016,Lead
38,AUS,13.17,2016,Lead
39,AUT,1206.79,2016,Lead
40,BEL,646.9,2016,Lead
41,BUL,0,2016,Lead
42,CAN,214.67,2016,Lead
43,CHI,2.45,2016,Lead
44,CHN,189.75,2016,Lead
45,CZE,126,2016,Lead
46,DEN,0,2016,Lead
47,ECU,0,2016,Lead
48,ESP,123.2,2016,Lead
49,FIN,0,2016,Lead
50,FRA,1664.2,2016,Lead
51,GBR,447.74,2016,Lead
52,GER,643.2,2016,Lead
53,HKG,0,2016,Lead
54,HUN,0,2016,Lead
55,INA,0,2016,Lead
56,IRI,0,2016,Lead
57,ISR,93.17,2016,Lead
58,ITA,1132.46,2016,Lead
59,JPN,1728.69,2016,Lead
60,KAZ,0,2016,Lead
61,KOR,918.76,2016,Lead
62,NED,59,2016,Lead
63,NOR,161,2016,Lead
64,POL,31.87,2016,Lead
65,RUS,279.49,2016,Lead
66,SLO,1591.05,2016,Lead
67,SRB,22,2016,Lead
68,SUI,405.05,2016,Lead
69,SVK,0,2016,Lead
70,SWE,177.65,2016,Lead
